Staff ID,Name,Role,Gender,Age,Phone,Email
D001,John Arknights,Doctor,Male,42,1234567890,johnark@hospital.com
P001,Marcus Goh,Pharmacist,Male,64,3456789012,gohmarcus@hospital.com
A003,Cillia Tan,Administrator,Female,30,2374536245,cilliatan@hospital.com
A001,Ai min,Administrator,Female,40,4567890123,ai.min@hospital.com
A002,Emily Tan,Administrator,Female,38,2345678901,emily.tan@hospital.com
A004,Tiffany Roy,Administrator,Female,42,2329427923,tiffany.roy@hospital.com
D002,Winnie Pooh,Doctor,Male,32,4249247363,winnie.pooh@hospital.com
D003,Yi Sheng,Doctor,Female,50,4842857296,yi.sheng@hospital.com
D004,Bo Shi,Doctor,Male,28,2972462428,boshi@hospital.com
P002,Parmasean Tze,Pharmacist,Male,48,2482627381,sean.tze@hospital.com
P003,Millian Wong,Pharmacist,Female,72,4279291318,milly.w@hospital.com
D005,Joyanne Fern,Doctor,Female,29,3294719483,joyfern@hospital.com
